Egg,Sperm,Cross,Timepoint,Conical.ID,Larval.ID,Start,End,censor
B,B,BB,6,L13,1,20160711,20160712,0
B,B,BB,6,L13,2,20160711,20160712,0
B,B,BB,6,L13,3,20160711,20160712,0
B,B,BB,6,L13,4,20160711,20160712,0
B,B,BB,6,L13,5,20160711,20160712,0
B,B,BB,6,L13,6,20160711,20160712,0
B,B,BB,6,L13,7,20160711,20160712,0
B,B,BB,6,L13,8,20160711,20160712,0
B,B,BB,6,L13,9,20160711,20160712,0
B,B,BB,6,L13,10,20160711,20160712,0
B,B,BB,6,L13,11,20160711,20160712,0
B,B,BB,6,L13,12,20160711,20160712,0
B,B,BB,6,L13,13,20160711,20160712,0
B,B,BB,6,L13,14,20160711,20160712,0
B,B,BB,6,L13,15,20160711,20160712,0
B,B,BB,6,L14,1,20160711,20160712,0
B,B,BB,6,L14,2,20160711,20160712,0
B,B,BB,6,L14,3,20160711,20160712,0
B,B,BB,6,L14,4,20160711,20160712,0
B,B,BB,6,L14,5,20160711,20160712,0
B,B,BB,6,L14,6,20160711,20160712,0
B,B,BB,6,L14,7,20160711,20160712,0
B,B,BB,6,L14,8,20160711,20160712,0
B,B,BB,6,L14,9,20160711,20160712,0
B,B,BB,6,L14,10,20160711,20160712,0
B,B,BB,6,L3,1,20160711,20160712,0
B,B,BB,6,L3,2,20160711,20160712,0
B,B,BB,6,L3,3,20160711,20160712,0
B,B,BB,6,L3,4,20160711,20160712,0
B,B,BB,6,L3,5,20160711,20160712,0
B,B,BB,6,L3,6,20160711,20160712,0
B,B,BB,6,L3,7,20160711,20160712,0
B,B,BB,6,L3,8,20160711,20160712,0
B,B,BB,6,L3,9,20160711,20160712,0
B,B,BB,6,L3,10,20160711,20160712,0
B,B,BB,6,L3,11,20160711,20160712,0
B,B,BB,6,L3,12,20160711,20160712,0
B,B,BB,6,L3,13,20160711,20160712,0
B,B,BB,6,L3,14,20160711,20160712,0
B,B,BB,6,L3,15,20160711,20160712,0
B,B,BB,6,L4,1,20160711,20160712,0
B,B,BB,6,L4,2,20160711,20160712,0
B,B,BB,6,L4,3,20160711,20160712,0
B,B,BB,6,L4,4,20160711,20160712,0
B,B,BB,6,L4,5,20160711,20160712,0
B,B,BB,6,L4,6,20160711,20160712,0
B,B,BB,6,L4,7,20160711,20160712,0
B,B,BB,6,L4,8,20160711,20160712,0
B,B,BB,6,L4,9,20160711,20160712,0
B,B,BB,6,L4,10,20160711,20160712,0
B,B,BB,6,L5,1,20160711,20160712,0
B,B,BB,6,L5,2,20160711,20160712,0
B,B,BB,6,L5,3,20160711,20160712,0
B,B,BB,6,L5,4,20160711,20160712,0
B,B,BB,6,L5,5,20160711,20160712,0
B,B,BB,6,L5,6,20160711,20160712,0
B,B,BB,6,L5,7,20160711,20160712,0
B,B,BB,6,L5,8,20160711,20160712,0
B,B,BB,6,L5,9,20160711,20160712,0
B,B,BB,6,L5,10,20160711,20160712,0
B,B,BB,6,L5,11,20160711,20160712,0
B,B,BB,6,L5,12,20160711,20160712,0
B,B,BB,6,L5,13,20160711,20160712,0
B,B,BB,6,L5,14,20160711,20160712,0
B,B,BB,6,L5,15,20160711,20160712,0
B,B,BB,6,L6,1,20160711,20160712,0
B,B,BB,6,L6,2,20160711,20160712,0
B,B,BB,6,L6,3,20160711,20160712,0
B,B,BB,6,L6,4,20160711,20160712,0
B,B,BB,6,L6,5,20160711,20160712,0
B,B,BB,6,L6,6,20160711,20160712,0
B,B,BB,6,L6,7,20160711,20160712,0
B,B,BB,6,L6,8,20160711,20160712,0
B,B,BB,6,L6,9,20160711,20160712,0
B,B,BB,6,L6,10,20160711,20160712,0
B,B,BB,6,S20,1,20160711,20160712,0
B,B,BB,6,S20,2,20160711,20160712,0
B,B,BB,6,S20,3,20160711,20160712,0
B,B,BB,6,S20,4,20160711,20160712,0
B,B,BB,6,S20,5,20160711,20160712,0
B,B,BB,6,S20,6,20160711,20160712,0
B,B,BB,6,S20,7,20160711,20160712,0
B,B,BB,6,S20,8,20160711,20160712,0
B,B,BB,6,S20,9,20160711,20160712,0
B,B,BB,6,S20,10,20160711,20160712,0
B,B,BB,6,S20,11,20160711,20160712,0
B,B,BB,6,S21,1,20160711,20160712,0
B,B,BB,6,S21,2,20160711,20160712,0
B,B,BB,6,S21,3,20160711,20160712,0
B,B,BB,6,S21,4,20160711,20160712,0
B,B,BB,6,S21,5,20160711,20160712,0
B,B,BB,6,S21,6,20160711,20160712,0
B,B,BB,6,S21,7,20160711,20160712,0
B,B,BB,6,S21,8,20160711,20160712,0
B,B,BB,6,S21,9,20160711,20160712,0
B,B,BB,6,S21,10,20160711,20160712,0
B,NB,BNB,6,L1,1,20160711,20160712,0
B,NB,BNB,6,L1,2,20160711,20160712,0
B,NB,BNB,6,L1,3,20160711,20160712,0
B,NB,BNB,6,L1,4,20160711,20160712,0
B,NB,BNB,6,L1,5,20160711,20160712,0
B,NB,BNB,6,L1,6,20160711,20160712,0
B,NB,BNB,6,L1,7,20160711,20160712,0
B,NB,BNB,6,L1,8,20160711,20160712,0
B,NB,BNB,6,L1,9,20160711,20160712,0
B,NB,BNB,6,L1,10,20160711,20160712,0
B,NB,BNB,6,L12,1,20160711,20160712,0
B,NB,BNB,6,L12,2,20160711,20160712,0
B,NB,BNB,6,L12,3,20160711,20160712,0
B,NB,BNB,6,L12,4,20160711,20160712,0
B,NB,BNB,6,L12,5,20160711,20160712,0
B,NB,BNB,6,L12,6,20160711,20160712,0
B,NB,BNB,6,L12,7,20160711,20160712,0
B,NB,BNB,6,L12,8,20160711,20160712,0
B,NB,BNB,6,L12,9,20160711,20160712,0
B,NB,BNB,6,L12,10,20160711,20160712,0
B,NB,BNB,6,S17,1,20160711,20160712,0
B,NB,BNB,6,S17,2,20160711,20160712,0
B,NB,BNB,6,S17,3,20160711,20160712,0
B,NB,BNB,6,S17,4,20160711,20160712,0
B,NB,BNB,6,S17,5,20160711,20160712,0
B,NB,BNB,6,S17,6,20160711,20160712,0
B,NB,BNB,6,S17,7,20160711,20160712,0
B,NB,BNB,6,S17,8,20160711,20160712,0
B,NB,BNB,6,S17,9,20160711,20160712,0
B,NB,BNB,6,S17,10,20160711,20160712,0
B,NB,BNB,6,S19,1,20160711,20160712,0
B,NB,BNB,6,S19,2,20160711,20160712,0
B,NB,BNB,6,S19,3,20160711,20160712,0
B,NB,BNB,6,S19,4,20160711,20160712,0
B,NB,BNB,6,S19,5,20160711,20160712,0
B,NB,BNB,6,S19,6,20160711,20160712,0
B,NB,BNB,6,S19,7,20160711,20160712,0
B,NB,BNB,6,S19,8,20160711,20160712,0
B,NB,BNB,6,S19,9,20160711,20160712,0
B,NB,BNB,6,S19,10,20160711,20160712,0
B,NB,BNB,6,S23,1,20160711,20160712,0
B,NB,BNB,6,S23,2,20160711,20160712,0
B,NB,BNB,6,S23,3,20160711,20160712,0
B,NB,BNB,6,S23,4,20160711,20160712,0
B,NB,BNB,6,S23,5,20160711,20160712,0
B,NB,BNB,6,S23,6,20160711,20160712,0
B,NB,BNB,6,S23,7,20160711,20160712,0
B,NB,BNB,6,S23,8,20160711,20160712,0
B,NB,BNB,6,S23,9,20160711,20160712,0
B,NB,BNB,6,S23,10,20160711,20160712,0
NB,B,NBB,6,L11,1,20160711,20160712,0
NB,B,NBB,6,L11,2,20160711,20160712,0
NB,B,NBB,6,L11,3,20160711,20160712,0
NB,B,NBB,6,L11,4,20160711,20160712,0
NB,B,NBB,6,L11,5,20160711,20160712,0
NB,B,NBB,6,L11,6,20160711,20160712,0
NB,B,NBB,6,L11,7,20160711,20160712,0
NB,B,NBB,6,L11,8,20160711,20160712,0
NB,B,NBB,6,L11,9,20160711,20160712,0
NB,B,NBB,6,L11,10,20160711,20160712,0
NB,B,NBB,6,L2,1,20160711,20160712,0
NB,B,NBB,6,L2,2,20160711,20160712,0
NB,B,NBB,6,L2,3,20160711,20160712,0
NB,B,NBB,6,L2,4,20160711,20160712,0
NB,B,NBB,6,L2,5,20160711,20160712,0
NB,B,NBB,6,L2,6,20160711,20160712,0
NB,B,NBB,6,L2,7,20160711,20160712,0
NB,B,NBB,6,L2,8,20160711,20160712,0
NB,B,NBB,6,L2,9,20160711,20160712,0
NB,B,NBB,6,L2,10,20160711,20160712,0
NB,B,NBB,6,L2,11,20160711,20160712,0
NB,B,NBB,6,S18,1,20160711,20160712,0
NB,B,NBB,6,S18,2,20160711,20160712,0
NB,B,NBB,6,S18,3,20160711,20160712,0
NB,B,NBB,6,S18,4,20160711,20160712,0
NB,B,NBB,6,S18,5,20160711,20160712,0
NB,B,NBB,6,S18,6,20160711,20160712,0
NB,B,NBB,6,S18,7,20160711,20160712,0
NB,B,NBB,6,S18,8,20160711,20160712,0
NB,B,NBB,6,S18,9,20160711,20160712,0
NB,B,NBB,6,S18,10,20160711,20160712,0
NB,B,NBB,6,S18,11,20160711,20160712,0
NB,B,NBB,6,S24,1,20160711,20160712,0
NB,B,NBB,6,S24,2,20160711,20160712,0
NB,B,NBB,6,S24,3,20160711,20160712,0
NB,B,NBB,6,S24,4,20160711,20160712,0
NB,B,NBB,6,S24,5,20160711,20160712,0
NB,B,NBB,6,S24,6,20160711,20160712,0
NB,B,NBB,6,S24,7,20160711,20160712,0
NB,B,NBB,6,S24,8,20160711,20160712,0
NB,B,NBB,6,S24,9,20160711,20160712,0
NB,B,NBB,6,S24,10,20160711,20160712,0
NB,NB,NBNB,6,L10,1,20160711,20160712,0
NB,NB,NBNB,6,L10,2,20160711,20160712,0
NB,NB,NBNB,6,L10,3,20160711,20160712,0
NB,NB,NBNB,6,L10,4,20160711,20160712,0
NB,NB,NBNB,6,L10,5,20160711,20160712,0
NB,NB,NBNB,6,L10,6,20160711,20160712,0
NB,NB,NBNB,6,L10,7,20160711,20160712,0
NB,NB,NBNB,6,L10,8,20160711,20160712,0
NB,NB,NBNB,6,L10,9,20160711,20160712,0
NB,NB,NBNB,6,L10,10,20160711,20160712,0
NB,NB,NBNB,6,L10,11,20160711,20160712,0
NB,NB,NBNB,6,L10,12,20160711,20160712,0
NB,NB,NBNB,6,L10,13,20160711,20160712,0
NB,NB,NBNB,6,L10,14,20160711,20160712,0
NB,NB,NBNB,6,L10,15,20160711,20160712,0
NB,NB,NBNB,6,L15,1,20160711,20160712,0
NB,NB,NBNB,6,L15,2,20160711,20160712,0
NB,NB,NBNB,6,L15,3,20160711,20160712,0
NB,NB,NBNB,6,L15,4,20160711,20160712,0
NB,NB,NBNB,6,L15,5,20160711,20160712,0
NB,NB,NBNB,6,L15,6,20160711,20160712,0
NB,NB,NBNB,6,L15,7,20160711,20160712,0
NB,NB,NBNB,6,L15,8,20160711,20160712,0
NB,NB,NBNB,6,L15,9,20160711,20160712,0
NB,NB,NBNB,6,L15,10,20160711,20160712,0
NB,NB,NBNB,6,L16,1,20160711,20160712,0
NB,NB,NBNB,6,L16,2,20160711,20160712,0
NB,NB,NBNB,6,L16,3,20160711,20160712,0
NB,NB,NBNB,6,L16,4,20160711,20160712,0
NB,NB,NBNB,6,L16,5,20160711,20160712,0
NB,NB,NBNB,6,L16,6,20160711,20160712,0
NB,NB,NBNB,6,L16,7,20160711,20160712,0
NB,NB,NBNB,6,L16,8,20160711,20160712,0
NB,NB,NBNB,6,L16,9,20160711,20160712,0
NB,NB,NBNB,6,L16,10,20160711,20160712,0
NB,NB,NBNB,6,L7,1,20160711,20160712,0
NB,NB,NBNB,6,L7,2,20160711,20160712,0
NB,NB,NBNB,6,L7,3,20160711,20160712,0
NB,NB,NBNB,6,L7,4,20160711,20160712,0
NB,NB,NBNB,6,L7,5,20160711,20160712,0
NB,NB,NBNB,6,L7,6,20160711,20160712,0
NB,NB,NBNB,6,L7,7,20160711,20160712,0
NB,NB,NBNB,6,L7,8,20160711,20160712,0
NB,NB,NBNB,6,L7,9,20160711,20160712,0
NB,NB,NBNB,6,L7,10,20160711,20160712,0
