Date,Year,Month,SpawningMonth,Colony.ID,Tube.No,EggsPerBundle,Abnormal,Prop.Abnormal
20160804,2016,August,3,173,F624,1,0,0.000
20160806,2016,August,3,149,F681,2,0,0.000
20160805,2016,August,3,118,F660,3,0,0.000
20160806,2016,August,3,146,F680,3,0,0.000
20160806,2016,August,3,123,F670,5,0,0.000
20160806,2016,August,3,173,F675,5,0,0.000
20160803,2016,August,3,119,F597,7,0,0.000
20160804,2016,August,3,173,F621,7,0,0.000
20160805,2016,August,3,121,F641,7,0,0.000
20160804,2016,August,3,123,F625,8,0,0.000
20160804,2016,August,3,174,F610,8,0,0.000
20160805,2016,August,3,123,F658,8,0,0.000
20160803,2016,August,3,119,F598,9,0,0.000
20160805,2016,August,3,121,F640,9,0,0.000
20160804,2016,August,3,121,F600,10,0,0.000
20160805,2016,August,3,121,F644,10,0,0.000
20160805,2016,August,3,123,F656,10,0,0.000
20160806,2016,August,3,123,F673,11,0,0.000
20160805,2016,August,3,121,F642,12,0,0.000
20160805,2016,August,3,123,F659,12,0,0.000
20160806,2016,August,3,123,F672,12,0,0.000
20160806,2016,August,3,123,F674,12,0,0.000
20160805,2016,August,3,121,F643,13,0,0.000
20160805,2016,August,3,123,F655,13,0,0.000
20160805,2016,August,3,123,F657,14,0,0.000
20160803,2016,August,3,119,F599,15,0,0.000
20160804,2016,August,3,121,F601,15,0,0.000
20160804,2016,August,3,121,F602,15,0,0.000
20160805,2016,August,3,174,F650,16,0,0.000
20160804,2016,August,3,121,F604,13,1,0.077
20160804,2016,August,3,174,F611,12,1,0.083
20160804,2016,August,3,174,F612,7,1,0.143
20160804,2016,August,3,121,F603,22,4,0.182
20160805,2016,August,3,120,F607,14,3,0.214
20160805,2016,August,3,174,F651,7,2,0.286
20160805,2016,August,3,174,F652,10,3,0.300
20160804,2016,August,3,118,F615,3,1,0.333
20160805,2016,August,3,174,F654,3,1,0.333
20160804,2016,August,3,174,F613,6,2,0.333
20160805,2016,August,3,173,F648,11,5,0.455
20160805,2016,August,3,173,F649,13,6,0.462
20160805,2016,August,3,174,F653,8,4,0.500
20160804,2016,August,3,173,F620,11,6,0.545
20160805,2016,August,3,173,F647,7,4,0.571
20160804,2016,August,3,120,F629,5,3,0.600
20160805,2016,August,3,173,F646,11,7,0.636
20160805,2016,August,3,173,F645,13,10,0.769
20160804,2016,August,3,173,F622,1,1,1.000
20160806,2016,August,3,123,F671,6,6,1.000
20160804,2016,August,3,173,F623,7,7,1.000
20160806,2016,August,3,174,F685,7,7,1.000
20160804,2016,August,3,117,F635,NA,NA,NA
20160804,2016,August,3,117,F636,NA,NA,NA
20160804,2016,August,3,117,F637,NA,NA,NA
20160804,2016,August,3,124,F630,NA,NA,NA
20160804,2016,August,3,124,F631,NA,NA,NA
20160804,2016,August,3,124,F632,NA,NA,NA
20160804,2016,August,3,124,F633,NA,NA,NA
20160804,2016,August,3,124,F634,NA,NA,NA
20160804,2016,August,3,150,F605,NA,NA,NA
20160804,2016,August,3,150,F606,NA,NA,NA
20160706,2016,July,2,125,F492,3,0,0.000
20160703,2016,July,2,146,F69,4,0,0.000
20160705,2016,July,2,117,F310,4,0,0.000
20160706,2016,July,2,117,F508,4,0,0.000
20160706,2016,July,2,123,F497,4,0,0.000
20160705,2016,July,2,125,F335,5,0,0.000
20160705,2016,July,2,146,F265,5,0,0.000
20160705,2016,July,2,150,F327,5,0,0.000
20160705,2016,July,2,175,F320,5,0,0.000
20160706,2016,July,2,117,F509,5,0,0.000
20160706,2016,July,2,120,F523,5,0,0.000
20160706,2016,July,2,125,F493,5,0,0.000
20160703,2016,July,2,146,F67,6,0,0.000
20160704,2016,July,2,120,F138,6,0,0.000
20160704,2016,July,2,125,F109,6,0,0.000
20160704,2016,July,2,174,F162,6,0,0.000
20160704,2016,July,2,174,F163,6,0,0.000
20160705,2016,July,2,146,F264,6,0,0.000
20160706,2016,July,2,117,F505,6,0,0.000
20160706,2016,July,2,117,F506,6,0,0.000
20160706,2016,July,2,123,F496,6,0,0.000
20160706,2016,July,2,146,F526,6,0,0.000
20160704,2016,July,2,119,F121,7,0,0.000
20160704,2016,July,2,121,F158,7,0,0.000
20160704,2016,July,2,150,F115,7,0,0.000
20160704,2016,July,2,175,F126,7,0,0.000
20160705,2016,July,2,117,F308,7,0,0.000
20160705,2016,July,2,117,F309,7,0,0.000
20160705,2016,July,2,146,F266,7,0,0.000
20160705,2016,July,2,146,F267,7,0,0.000
20160705,2016,July,2,150,F324,7,0,0.000
20160705,2016,July,2,150,F328,7,0,0.000
20160703,2016,July,2,146,F66,8,0,0.000
20160704,2016,July,2,117,F155,8,0,0.000
20160704,2016,July,2,120,F140,8,0,0.000
20160704,2016,July,2,146,F142,8,0,0.000
20160704,2016,July,2,146,F145,8,0,0.000
20160704,2016,July,2,150,F113,8,0,0.000
20160705,2016,July,2,117,F312,8,0,0.000
20160705,2016,July,2,124,F273,8,0,0.000
20160705,2016,July,2,124,F277,8,0,0.000
20160705,2016,July,2,174,F316,8,0,0.000
20160705,2016,July,2,174,F317,8,0,0.000
20160706,2016,July,2,149,F477,8,0,0.000
20160706,2016,July,2,149,F479,8,0,0.000
20160706,2016,July,2,150,F470,8,0,0.000
20160703,2016,July,2,146,F65,9,0,0.000
20160704,2016,July,2,117,F154,9,0,0.000
20160704,2016,July,2,119,F124,9,0,0.000
20160704,2016,July,2,124,F147,9,0,0.000
20160704,2016,July,2,124,F150,9,0,0.000
20160704,2016,July,2,146,F143,9,0,0.000
20160704,2016,July,2,146,F144,9,0,0.000
20160704,2016,July,2,149,F101,9,0,0.000
20160705,2016,July,2,121,F331,9,0,0.000
20160705,2016,July,2,125,F334,9,0,0.000
20160705,2016,July,2,150,F325,9,0,0.000
20160705,2016,July,2,150,F326,9,0,0.000
20160706,2016,July,2,123,F498,9,0,0.000
20160706,2016,July,2,123,F499,9,0,0.000
20160706,2016,July,2,149,F475,9,0,0.000
20160706,2016,July,2,150,F472,9,0,0.000
20160706,2016,July,2,173,F483,9,0,0.000
20160706,2016,July,2,174,F467,9,0,0.000
20160704,2016,July,2,116,F116,10,0,0.000
20160704,2016,July,2,123,F132,10,0,0.000
20160704,2016,July,2,124,F146,10,0,0.000
20160704,2016,July,2,125,F110,10,0,0.000
20160704,2016,July,2,146,F141,10,0,0.000
20160704,2016,July,2,175,F127,10,0,0.000
20160704,2016,July,2,175,F129,10,0,0.000
20160705,2016,July,2,118,F296,10,0,0.000
20160705,2016,July,2,120,F286,10,0,0.000
20160705,2016,July,2,123,F272,10,0,0.000
20160705,2016,July,2,124,F276,10,0,0.000
20160705,2016,July,2,125,F336,10,0,0.000
