Date,Year,Month,SpawningMonth,Colony.ID,Bundle.ID,Egg.Rep,Area.mm2,Diameter.mm,vol.mm3
20170525,2017,May,1,146/326,F914,1,0.166,0.468,0.053670521
20170525,2017,May,1,146/326,F914,2,0.164,0.466,0.052985374
20170525,2017,May,1,146/326,F914,3,0.165,0.459,0.050633309
20170525,2017,May,1,146/326,F914,4,0.186,0.496,0.06389153
20170525,2017,May,1,146/326,F914,5,0.179,0.491,0.061978738
20170525,2017,May,1,146/326,F914,6,0.169,0.467,0.053327214
20170525,2017,May,1,146/326,F914,7,0.182,0.477,0.056826825
20170525,2017,May,1,146/326,F914,8,0.165,0.456,0.049646974
20170525,2017,May,1,146/326,F914,9,0.177,0.475,0.056115015
20170525,2017,May,1,146/326,F914,10,0.161,0.464,0.052306083
20170525,2017,May,1,146/326,F914,11,0.18,0.493,0.062739205
20170525,2017,May,1,146/326,F915,1,0.14,0.426,0.040478746
20170525,2017,May,1,146/326,F915,2,0.147,0.438,0.043996749
20170525,2017,May,1,146/326,F915,3,0.164,0.465,0.052644998
20170525,2017,May,1,146/326,F915,4,0.145,0.426,0.040478746
20170525,2017,May,1,146/326,F915,6,0.132,0.41,0.036086921
20170525,2017,May,1,146/326,F915,7,0.152,0.484,0.059365529
20170525,2017,May,1,146/326,F916,1,0.158,0.462,0.051632622
20170525,2017,May,1,146/326,F916,2,0.16,0.45,0.047712898
20170525,2017,May,1,146/326,F916,3,0.152,0.45,0.047712898
20170525,2017,May,1,146/326,F916,4,0.152,0.452,0.048351902
20170525,2017,May,1,146/326,F916,5,0.163,0.459,0.050633309
20170525,2017,May,1,146/326,F916,6,0.146,0.431,0.041920849
20170525,2017,May,1,146/326,F916,7,0.171,0.473,0.055409174
20170525,2017,May,1,146/326,F917,1,0.154,0.475,0.056115015
20170525,2017,May,1,146/326,F917,2,0.181,0.486,0.06010451
20170525,2017,May,1,146/326,F917,3,0.165,0.483,0.05899832
20170525,2017,May,1,146/326,F917,4,0.167,0.47,0.05436155
20170525,2017,May,1,146/326,F917,5,0.183,0.506,0.067834372
20170525,2017,May,1,146/326,F917,6,0.179,0.49,0.06160082
20170525,2017,May,1,146/326,F917,7,0.166,0.494,0.06312176
20170525,2017,May,1,146/326,F917,8,0.151,0.435,0.043098884
20170525,2017,May,1,146/326,F917,9,0.196,0.536,0.080629251
20170525,2017,May,1,146/326,F917,10,0.156,0.453,0.048673532
20170525,2017,May,1,146/326,F917,11,0.197,0.537,0.081081376
20170525,2017,May,1,146/326,F917,12,0.14,0.438,0.043996749
20170525,2017,May,1,146/326,F918,1,0.147,0.428,0.04105155
20170525,2017,May,1,146/326,F918,2,0.152,0.441,0.044906998
