Year,Colony.ID,B.NB,Tot.Area.cm2
2017,117,Bleached,169.84
2017,116,Nonbleached,644.64
2017,118,Nonbleached,353.41
2017,119,Bleached,67.93
2017,120,Nonbleached,263.18
2017,121,Bleached,48.44
2017,123,Bleached,406.86
2017,124,Nonbleached,132.97
2017,125,Bleached,523.32
2017,146,Nonbleached,745.73
2017,149,Bleached,348.14
2017,150,Nonbleached,586.75
2017,173,Bleached,880.86
2017,174,Nonbleached,510.86
2017,175,Bleached,843.77
2016,116,Nonbleach,271.634706
2016,117,Bleach,387.118228
2016,118,Nonbleach,428.668974
2016,119,Bleach,159.772787
2016,120,Nonbleach,477.575597
2016,121,Bleach,204.792435
2016,123,Bleach,167.987983
2016,124,Nonbleach,313.538293
2016,125,Bleach,305.738165
2016,146,Nonbleach,730.687764
2016,149,Bleach,421.265962
2016,150,Nonbleach,331.182585
2016,173,Bleach,689.145444
2016,174,Nonbleach,308.062168
2016,175,Bleach,805.688707
