Date,Year,Month,SpawningMonth,Spawning.Night,Parental.Performance,Colony.ID,Colony,Status,Spawn,Time.Start,Time.End,Total.Vol.mL,Total.Vol.microL,PlanarArea.cm2,microL.cm2,AccumulativeOutput.mL.cm2
20160604,2016,June,1,1,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,0
20160605,2016,June,1,2,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,0
20160606,2016,June,1,3,Nonbleach,116,116,ALIVE,1,21:31:00,NA,0,0,271.635,0,0
20160607,2016,June,1,4,Nonbleach,116,116,ALIVE,1,21:08:00,NA,0,0,271.635,0,0
20160608,2016,June,1,5,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,0
20160703,2016,July,2,1,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,0
20160704,2016,July,2,2,Nonbleach,116,116,ALIVE,1,20:56:00,NA,3.2,3200,271.635,11.781,11.781
20160705,2016,July,2,3,Nonbleach,116,116,ALIVE,1,20:50:00,NA,1.52,1520,271.635,5.596,17.377
20160706,2016,July,2,4,Nonbleach,116,116,ALIVE,1,21:02:00,NA,0.01,10,271.635,0.037,17.414
20160707,2016,July,2,5,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,17.414
20160708,2016,July,2,6,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,17.414
20160731,2016,July,2,-1,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,17.414
20160801,2016,Aug,3,0,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,17.414
20160802,2016,Aug,3,1,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,17.414
20160803,2016,Aug,3,2,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,17.414
20160804,2016,Aug,3,3,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,17.414
20160805,2016,Aug,3,4,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,17.414
20160806,2016,Aug,3,5,Nonbleach,116,116,ALIVE,0,NA,NA,0,0,271.635,0,17.414
