Date,Year,Month,SpawningMonth,Night,B.NB,Colony.ID,Spawn,Total.Vol.mL,Total.Vol.microL
20160602,2016,June,1,-1,Bleach,117,0,0,0
20160602,2016,June,1,-1,Bleach,119,0,0,0
20160602,2016,June,1,-1,Bleach,121,0,0,0
20160602,2016,June,1,-1,Bleach,123,0,0,0
20160602,2016,June,1,-1,Bleach,125,0,0,0
20160602,2016,June,1,-1,Bleach,149,0,0,0
20160602,2016,June,1,-1,Bleach,173,0,0,0
20160602,2016,June,1,-1,Bleach,175,0,0,0
20160602,2016,June,1,-1,Nonbleach,116,0,0,0
20160602,2016,June,1,-1,Nonbleach,118,0,0,0
20160602,2016,June,1,-1,Nonbleach,120,0,0,0
20160602,2016,June,1,-1,Nonbleach,124,0,0,0
20160602,2016,June,1,-1,Nonbleach,146,0,0,0
20160602,2016,June,1,-1,Nonbleach,150,0,0,0
20160602,2016,June,1,-1,Nonbleach,174,0,0,0
20160603,2016,June,1,0,Bleach,117,0,0,0
20160603,2016,June,1,0,Bleach,119,0,0,0
20160603,2016,June,1,0,Bleach,121,0,0,0
20160603,2016,June,1,0,Bleach,123,0,0,0
20160603,2016,June,1,0,Bleach,125,0,0,0
20160603,2016,June,1,0,Bleach,149,0,0,0
20160603,2016,June,1,0,Bleach,173,0,0,0
20160603,2016,June,1,0,Bleach,175,0,0,0
20160603,2016,June,1,0,Nonbleach,116,0,0,0
20160603,2016,June,1,0,Nonbleach,118,0,0,0
20160603,2016,June,1,0,Nonbleach,120,0,0,0
20160603,2016,June,1,0,Nonbleach,124,0,0,0
20160603,2016,June,1,0,Nonbleach,146,0,0,0
20160603,2016,June,1,0,Nonbleach,150,0,0,0
20160603,2016,June,1,0,Nonbleach,174,0,0,0
20160604,2016,June,1,1,Bleach,117,0,0,0
20160604,2016,June,1,1,Bleach,119,0,0,0
20160604,2016,June,1,1,Bleach,123,0,0,0
20160604,2016,June,1,1,Bleach,149,0,0,0
20160604,2016,June,1,1,Bleach,173,0,0,0
20160604,2016,June,1,1,Bleach,175,0,0,0
20160604,2016,June,1,1,Bleach,121,1,0.0002,0.2
20160604,2016,June,1,1,Bleach,125,1,1.25,1250
20160604,2016,June,1,1,Nonbleach,116,0,0,0
20160604,2016,June,1,1,Nonbleach,118,0,0,0
20160604,2016,June,1,1,Nonbleach,120,0,0,0
20160604,2016,June,1,1,Nonbleach,124,1,0.0014,1.4
20160604,2016,June,1,1,Nonbleach,146,0,0,0
20160604,2016,June,1,1,Nonbleach,150,0,0,0
20160604,2016,June,1,1,Nonbleach,174,1,0,0
20160605,2016,June,1,2,Bleach,119,0,0,0
20160605,2016,June,1,2,Bleach,123,0,0,0
20160605,2016,June,1,2,Bleach,173,0,0,0
20160605,2016,June,1,2,Bleach,117,1,0.5,500
20160605,2016,June,1,2,Bleach,121,1,2.5,2500
20160605,2016,June,1,2,Bleach,125,1,5,5000
20160605,2016,June,1,2,Bleach,149,1,1,1000
20160605,2016,June,1,2,Bleach,175,1,2,2000
20160605,2016,June,1,2,Nonbleach,116,0,0,0
20160605,2016,June,1,2,Nonbleach,118,0,0,0
20160605,2016,June,1,2,Nonbleach,120,0,0,0
20160605,2016,June,1,2,Nonbleach,146,0,0,0
20160605,2016,June,1,2,Nonbleach,150,0,0,0
20160605,2016,June,1,2,Nonbleach,124,1,3.5,3500
20160605,2016,June,1,2,Nonbleach,174,1,0.0018,1.8
20160606,2016,June,1,3,Bleach,123,0,0,0
20160606,2016,June,1,3,Bleach,125,0,0,0
20160606,2016,June,1,3,Bleach,173,0,0,0
20160606,2016,June,1,3,Bleach,117,1,0.5,500
20160606,2016,June,1,3,Bleach,119,1,0.001,1
20160606,2016,June,1,3,Bleach,121,1,0.0006,0.6
20160606,2016,June,1,3,Bleach,149,1,0.5,500
20160606,2016,June,1,3,Bleach,175,1,7.5,7500
20160606,2016,June,1,3,Nonbleach,120,0,0,0
20160606,2016,June,1,3,Nonbleach,150,0,0,0
20160606,2016,June,1,3,Nonbleach,116,1,0.001,1
20160606,2016,June,1,3,Nonbleach,118,1,0.5,500
20160606,2016,June,1,3,Nonbleach,124,1,3,3000
20160606,2016,June,1,3,Nonbleach,146,1,3,3000
20160606,2016,June,1,3,Nonbleach,174,1,0.5,500
20160607,2016,June,1,4,Bleach,123,0,0,0
20160607,2016,June,1,4,Bleach,125,0,0,0
20160607,2016,June,1,4,Bleach,149,0,0,0
20160607,2016,June,1,4,Bleach,117,1,0.001,1
20160607,2016,June,1,4,Bleach,119,1,0.001,1
20160607,2016,June,1,4,Bleach,121,1,0.0002,0.2
20160607,2016,June,1,4,Bleach,173,1,1.25,1250
20160607,2016,June,1,4,Bleach,175,1,1.5,1500
20160607,2016,June,1,4,Nonbleach,124,0,0,0
20160607,2016,June,1,4,Nonbleach,150,0,0,0
20160607,2016,June,1,4,Nonbleach,116,1,0.001,1
20160607,2016,June,1,4,Nonbleach,118,1,0.0004,0.4
20160607,2016,June,1,4,Nonbleach,120,1,0.0006,0.6
20160607,2016,June,1,4,Nonbleach,146,1,1.25,1250
20160607,2016,June,1,4,Nonbleach,174,1,0.004,4
20160608,2016,June,1,5,Bleach,117,0,0,0
20160608,2016,June,1,5,Bleach,119,0,0,0
20160608,2016,June,1,5,Bleach,121,0,0,0
20160608,2016,June,1,5,Bleach,123,0,0,0
20160608,2016,June,1,5,Bleach,125,0,0,0
20160608,2016,June,1,5,Bleach,149,0,0,0
20160608,2016,June,1,5,Bleach,175,0,0,0
20160608,2016,June,1,5,Bleach,173,1,2.25,2250
20160608,2016,June,1,5,Nonbleach,116,0,0,0
20160608,2016,June,1,5,Nonbleach,118,0,0,0
20160608,2016,June,1,5,Nonbleach,120,0,0,0
20160608,2016,June,1,5,Nonbleach,124,0,0,0
20160608,2016,June,1,5,Nonbleach,146,0,0,0
20160608,2016,June,1,5,Nonbleach,150,0,0,0
20160608,2016,June,1,5,Nonbleach,174,0,0,0
20160609,2016,June,1,6,Bleach,117,0,0,0
20160609,2016,June,1,6,Bleach,119,0,0,0
20160609,2016,June,1,6,Bleach,121,0,0,0
20160609,2016,June,1,6,Bleach,123,0,0,0
20160609,2016,June,1,6,Bleach,125,0,0,0
20160609,2016,June,1,6,Bleach,149,0,0,0
20160609,2016,June,1,6,Bleach,175,0,0,0
20160609,2016,June,1,6,Bleach,173,0,0,0
20160609,2016,June,1,6,Nonbleach,116,0,0,0
20160609,2016,June,1,6,Nonbleach,118,0,0,0
20160609,2016,June,1,6,Nonbleach,120,0,0,0
20160609,2016,June,1,6,Nonbleach,124,0,0,0
20160609,2016,June,1,6,Nonbleach,146,0,0,0
20160609,2016,June,1,6,Nonbleach,150,0,0,0
20160609,2016,June,1,6,Nonbleach,174,0,0,0
20160702,2016,June,1,-1,Bleach,117,0,0,0
20160702,2016,June,1,-1,Bleach,119,0,0,0
20160702,2016,June,1,-1,Bleach,121,0,0,0
20160702,2016,June,1,-1,Bleach,123,0,0,0
20160702,2016,June,1,-1,Bleach,125,0,0,0
20160702,2016,June,1,-1,Bleach,149,0,0,0
20160702,2016,June,1,-1,Bleach,175,0,0,0
20160702,2016,June,1,-1,Bleach,173,0,0,0
20160702,2016,June,1,-1,Nonbleach,116,0,0,0
20160702,2016,June,1,-1,Nonbleach,118,0,0,0
20160702,2016,June,1,-1,Nonbleach,120,0,0,0
20160702,2016,June,1,-1,Nonbleach,124,0,0,0
20160702,2016,June,1,-1,Nonbleach,146,0,0,0
20160702,2016,June,1,-1,Nonbleach,150,0,0,0
20160702,2016,June,1,-1,Nonbleach,174,0,0,0
20160703,2016,July,2,0,Bleach,119,0,0,0
20160703,2016,July,2,0,Bleach,121,0,0,0
20160703,2016,July,2,0,Bleach,123,0,0,0
20160703,2016,July,2,0,Bleach,125,0,0,0
20160703,2016,July,2,0,Bleach,149,0,0,0
20160703,2016,July,2,0,Bleach,117,1,0.002,2
20160703,2016,July,2,0,Bleach,173,1,0.002,2
20160703,2016,July,2,0,Bleach,175,1,0.012,12
20160703,2016,July,2,0,Nonbleach,116,0,0,0
20160703,2016,July,2,0,Nonbleach,124,0,0,0
20160703,2016,July,2,0,Nonbleach,118,1,0.002,2
