Date,Conical,Dam,Sire,DamBleach,SireBleach,Cross,DayPostFert,Initial.Total,Swimming,On.CCA,Settled,Total,Prop.Settled,Prop.Survival,Initial,Notes
20160710,L13,173,119,B,B,BB,6,15,11,0,4,15,0.27,1.00,BL,
20160710,L14,173,149,B,B,BB,6,10,7,2,1,10,0.10,1.00,BL,
20160710,L3,149,119,B,B,BB,6,15,14,0,1,15,0.07,1.00,BL,
20160710,L4,149,173,B,B,BB,6,10,7,2,1,10,0.10,1.00,BL,
20160710,L5,119,149,B,B,BB,6,15,13,2,0,15,0.00,1.00,BL,
20160710,L6,119,173,B,B,BB,6,10,8,1,1,10,0.10,1.00,BL,
20160710,L10,116,150,NB,NB,NBNB,6,15,9,6,0,15,0.00,1.00,BL,
20160710,L15,150,120,NB,NB,NBNB,6,10,8,0,2,10,0.20,1.00,BL,
20160710,L16,150,116,NB,NB,NBNB,6,10,7,3,0,10,0.00,1.00,BL,
20160710,L7,120,150,NB,NB,NBNB,6,10,7,1,2,10,0.20,1.00,BL,
20160710,L8,120,116,NB,NB,NBNB,6,10,8,2,0,10,0.00,1.00,BL,
20160710,L9,116,120,NB,NB,NBNB,6,11,5,0,6,11,0.55,1.00,BL,
20160711,L13,173,119,B,B,BB,7,15,1,0,2,3,0.13,0.20,BL,
20160711,L14,173,149,B,B,BB,7,10,3,3,0,6,0.00,0.60,BL,
20160711,L3,149,119,B,B,BB,7,15,10,1,1,12,0.07,0.80,BL,
20160711,L4,149,173,B,B,BB,7,10,4,3,3,10,0.30,1.00,BL,
20160711,L5,119,149,B,B,BB,7,15,11,1,0,12,0.00,0.80,BL,
20160711,L6,119,173,B,B,BB,7,10,5,1,2,8,0.20,0.80,BL,
20160711,S20,119,123,B,B,BB,6,11,8,1,2,11,0.18,1.00,BL,
20160711,S21,123,119,B,B,BB,6,10,9,1,0,10,0.00,1.00,BL,
20160711,L1,119,120,B,NB,BNB,6,10,9,1,0,10,0.00,1.00,BL,
20160711,L12,123,124,B,NB,BNB,6,10,9,1,0,10,0.00,1.00,BL,
20160711,S17,123,120,B,NB,BNB,6,10,9,1,0,10,0.00,1.00,BL,
20160711,S23,119,124,B,NB,BNB,6,10,8,2,0,10,0.00,1.00,BL,
20160711,L11,124,123,B,NB,NBB,6,10,8,1,1,10,0.10,1.00,BL,
20160711,L2,120,119,B,NB,NBB,6,11,9,2,0,11,0.00,1.00,BL,
20160711,S24,124,119,B,NB,NBB,6,10,9,1,0,10,0.00,1.00,BL,
20160711,L10,116,150,NB,NB,NBNB,7,15,9,3,0,12,0.00,0.80,BL,
20160711,L15,150,120,NB,NB,NBNB,7,10,1,1,2,4,0.20,0.40,BL,
20160711,L16,150,116,NB,NB,NBNB,7,10,4,2,2,8,0.20,0.80,BL,
20160711,L7,120,150,NB,NB,NBNB,7,10,5,1,1,7,0.10,0.70,BL,
20160711,L8,120,116,NB,NB,NBNB,7,10,9,1,0,10,0.00,1.00,BL,
20160711,L9,116,120,NB,NB,NBNB,7,11,9,2,0,11,0.00,1.00,BL,
20160711,S22,120,124,NB,NB,NBNB,6,10,9,1,0,10,0.00,1.00,BL,
20160712,L13,173,119,B,B,BB,8,15,0,0,2,2,0.13,0.13,BL,
20160712,L14,173,149,B,B,BB,8,10,0,0,0,0,0.00,0.00,BL,
20160712,L3,149,119,B,B,BB,8,15,9,0,2,11,0.13,0.73,BL,
20160712,L4,149,173,B,B,BB,8,10,3,3,4,10,0.40,1.00,BL,
20160712,L5,119,149,B,B,BB,8,15,11,1,0,12,0.00,0.80,BL,
20160712,L6,119,173,B,B,BB,8,10,3,0,2,5,0.20,0.50,BL,
20160712,S19,149,119,B,B,BB,6,10,8,2,0,10,0.00,1.00,BL,
20160712,S20,119,123,B,B,BB,7,11,10,0,0,10,0.00,0.91,BL,
20160712,S21,123,119,B,B,BB,7,10,5,0,4,9,0.40,0.90,BL,
20160712,L1,119,120,B,NB,BNB,7,10,5,1,0,6,0.00,0.60,BL,
20160712,L12,123,124,B,NB,BNB,7,10,6,1,1,8,0.10,0.80,BL,
20160712,S17,123,120,B,NB,BNB,7,10,9,1,0,10,0.00,1.00,BL,
20160712,S23,119,124,B,NB,BNB,7,10,8,0,0,8,0.00,0.80,BL,
20160712,L11,124,123,B,NB,NBB,7,10,9,0,1,10,0.10,1.00,BL,
20160712,L2,120,119,B,NB,NBB,7,11,10,0,0,10,0.00,0.91,BL,
20160712,S18,118,149,B,NB,NBB,6,11,10,1,0,11,0.00,1.00,BL,
20160712,S24,124,119,B,NB,NBB,7,10,9,1,0,10,0.00,1.00,BL,
20160712,L10,116,150,NB,NB,NBNB,8,15,9,3,0,12,0.00,0.80,BL,
20160712,L15,150,120,NB,NB,NBNB,8,10,4,0,0,4,0.00,0.40,BL,
20160712,L16,150,116,NB,NB,NBNB,8,10,5,0,0,5,0.00,0.50,BL,
20160712,L7,120,150,NB,NB,NBNB,8,10,3,2,2,6,0.10,0.70,BL,
20160712,L8,120,116,NB,NB,NBNB,8,10,8,0,0,8,0.00,0.80,BL,
20160712,L9,116,120,NB,NB,NBNB,8,11,2,1,6,9,0.55,0.82,BL,
20160712,S22,120,124,NB,NB,NBNB,7,10,8,2,0,10,0.00,1.00,BL,
20160713,S19,149,119,B,B,BB,7,10,7,2,1,9,0.00,1.00,BL,
20160713,S18,118,149,B,NB,NBB,7,11,11,0,0,11,0.00,1.00,BL,
20160728,L13,173,119,B,B,BB,24,15,0,0,0,0,0.00,0.00,BL,
20160728,L14,173,149,B,B,BB,24,10,0,0,0,0,0.00,0.00,BL,
20160728,L3,149,119,B,B,BB,24,15,0,0,0,0,0.00,0.00,BL,
20160728,L4,149,173,B,B,BB,24,10,0,6,4,10,0.40,1.00,BL,
20160728,L5,119,149,B,B,BB,24,15,3,6,3,15,0.20,0.80,BL,
20160728,L6,119,173,B,B,BB,24,10,0,0,3,3,0.30,0.30,BL,
20160728,S19,149,119,B,B,BB,22,10,6,0,4,10,0.40,1.00,BL,
20160728,S20,119,123,B,B,BB,23,11,0,0,0,0,0.00,0.00,BL,
20160728,S21,123,119,B,B,BB,23,10,0,0,0,0,0.00,0.00,BL,
20160728,L1,119,120,B,NB,BNB,23,10,0,0,0,0,0.00,0.00,BL,
20160728,L12,123,124,B,NB,BNB,23,10,6,0,0,6,0.00,0.60,BL,
20160728,S17,123,120,B,NB,BNB,23,10,5,0,0,5,0.00,0.50,BL,
20160728,S23,119,124,B,NB,BNB,23,10,4,0,0,4,0.00,0.40,BL,
20160728,L11,124,123,B,NB,NBB,23,10,0,2,0,0,0.00,0.20,BL,
20160728,L2,120,119,B,NB,NBB,23,10,6,0,3,9,0.30,0.90,BL,
20160728,S18,118,149,B,NB,NBB,22,11,3,1,6,10,0.55,0.91,BL,
20160728,S24,124,119,B,NB,NBB,23,10,0,0,0,0,0.00,0.00,BL,
20160728,L10,116,150,NB,NB,NBNB,24,15,0,0,1,1,0.07,0.07,BL,
20160728,L15,150,120,NB,NB,NBNB,24,10,0,0,2,2,0.20,0.20,BL,
20160728,L16,150,116,NB,NB,NBNB,24,10,0,0,3,3,0.30,0.30,EVDS,
20160728,L7,120,150,NB,NB,NBNB,24,10,0,0,7,7,0.70,0.70,BL,
20160728,L8,120,116,NB,NB,NBNB,24,10,1,0,3,3,0.30,0.40,BL,
20160728,L9,116,120,NB,NB,NBNB,24,11,2,0,7,9,0.64,0.82,BL,
20160728,S22,120,124,NB,NB,NBNB,23,10,4,3,1,6,0.10,0.80,BL,
20160801,L13,173,119,B,B,BB,28,15,0,0,0,0,0.00,0.00,EVDS,
20160801,L14,173,149,B,B,BB,28,10,0,0,0,0,0.00,0.00,EVDS,
20160801,L3,149,119,B,B,BB,27,15,0,0,0,0,0.00,0.00,EVDS,
20160801,L4,149,173,B,B,BB,28,10,2,2,4,8,0.40,0.80,EVDS,
20160801,L5,119,149,B,B,BB,28,15,2,2,7,11,0.47,0.73,EVDS,
20160801,L6,119,173,B,B,BB,28,10,0,0,2,2,0.20,0.20,EVDS,
20160801,S19,149,119,B,B,BB,26,10,3,1,5,9,0.50,0.90,BL,
20160801,S20,119,123,B,B,BB,27,11,0,0,0,0,0.00,0.00,BL,
20160801,S21,123,119,B,B,BB,27,10,0,0,0,0,0.00,0.00,BL,
20160801,L1,119,120,B,NB,BNB,27,10,0,0,0,0,0.00,0.00,BL,
20160801,L12,123,124,B,NB,BNB,27,10,4,1,1,6,0.10,0.60,BL,
20160801,S17,123,120,B,NB,BNB,27,10,3,1,0,4,0.00,0.40,BL,
20160801,S23,119,124,B,NB,BNB,27,10,3,0,0,3,0.00,0.30,BL,
20160801,L11,124,123,B,NB,NBB,27,10,0,2,0,0,0.00,0.20,BL,
20160801,L2,120,119,B,NB,NBB,27,10,3,1,5,8,0.50,0.90,BL,
20160801,S18,118,149,B,NB,NBB,26,11,3,1,6,10,0.55,0.91,BL,
20160801,S24,124,119,B,NB,NBB,27,10,0,0,0,0,0.00,0.00,BL,
20160801,L10,116,150,NB,NB,NBNB,28,15,0,0,1,1,0.07,0.07,EVDS,
20160801,L15,150,120,NB,NB,NBNB,28,10,0,0,1,1,0.10,0.10,EVDS,
20160801,L16,150,116,NB,NB,NBNB,28,10,0,0,3,3,0.30,0.30,EVDS,
