Tank,Temp,BleachHistory,Colony,Tag,AprilWt.g,MayWt1.g,Growth1.g.d,MayWt2.g,JuneWt1.g,Growth2.g.d,JuneWt2.g,JulyWt1.g,Growth3.g.d,JulyWt2.g,AugWt1.g,Growth4.g.d
1,High,B,1,1201,474.414,477.347,0.098,475.103,477.726,0.079,473.3373585,476.637,0.100,477.231,483.02,0.263125541
1,High,NB,4,1222,548.911,554.642,0.191,552.240,559.877,0.231,555.3011321,560.669,0.163,560.570,568.8,0.374095236
1,High,NB,6,1274,410.875,413.119,0.075,409.583,414.534,0.150,410.4075472,412.850,0.074,411.781,416.68,0.2227013
1,High,B,19,1221,577.409,587.712,0.343,583.283,604.686,0.649,596.6264151,613.858,0.522,613.065,628.24,0.689766232
1,High,NB,20,1214,782.019,786.506,0.150,782.924,795.412,0.378,787.7313208,796.620,0.269,796.699,801.58,0.221844155
1,High,B,201,1215,373.351,380.049,0.223,377.500,384.879,0.224,382.3079245,385.672,0.102,386.107,389.98,0.176025973
1,High,NB,202,1252,413.497,416.982,0.116,415.254,421.606,0.192,417.6875472,425.707,0.243,425.310,432.98,0.348614718
1,High,B,11,1231,360.166,362.528,0.079,360.743,366.872,0.186,364.0588679,367.645,0.109,366.773,370.98,0.191212123
1,High,NB,12,1244,388.920,392.780,0.129,391.511,397.894,0.193,393.2573585,400.152,0.209,400.232,403.48,0.147653682
1,High,B,211,1235,407.722,410.793,0.102,406.346,412.296,0.180,411.8203774,413.524,0.052,412.652,416.36,0.168536795
1,High,NB,212,1282,407.623,404.861,-0.092,268.889,272.421,0.107,270.2233962,268.578,-0.050,268.894,273.24,0.197523809
2,High,NB,2,1292,516.610,518.241,0.054,515.742,521.327,0.169,516.3501887,522.912,0.199,522.734,529.16,0.292103895
2,High,B,3,1243,482.179,484.127,0.065,481.579,491.415,0.298,486.6415094,496.902,0.311,496.803,501.58,0.2171342
2,High,B,5,1251,402.637,402.871,0.008,401.008,403.223,0.067,399.4384906,403.183,0.113,403.045,404.18,0.051610391
2,High,B,209,1261,561.209,567.610,0.213,557.146,571.742,0.442,566.4075472,573.565,0.217,571.643,578.04,0.290753245
2,High,NB,210,1264,457.702,465.148,0.248,464.056,473.745,0.294,469.6090566,478.123,0.258,476.776,489.72,0.588380955
2,High,B,213,1205,530.642,532.746,0.070,531.715,537.670,0.180,532.48,535.333,0.086,535.650,539.8,0.188658009
2,High,NB,214,1234,387.206,391.105,0.130,388.921,394.804,0.178,391.2166038,397.656,0.195,397.419,402.68,0.239151514
2,High,B,221,1255,439.965,442.681,0.091,441.176,421.368,-0.600,417.6679245,452.311,1.050,445.932,454.82,0.403991341
2,High,NB,222,1202,329.264,329.872,0.020,328.856,333.513,0.141,330.3471698,336.346,0.182,336.207,338.62,0.109670995
3,Control,B,1,1203,495.049,501.391,0.211,499.710,511.125,0.346,502.4966038,510.333,0.237,510.353,519.22,0.403056277
3,Control,NB,2,1294,363.655,367.712,0.135,365.766,372.221,0.196,368.5916981,377.233,0.262,376.856,382.88,0.273800864
3,Control,NB,4,1224,836.394,838.496,0.070,834.767,842.440,0.233,834.8649057,846.600,0.356,846.996,857.6,0.482008659
3,Control,B,19,1223,852.949,856.272,0.111,852.565,845.728,-0.207,837.8279245,851.334,0.409,848.898,861.8,0.586476191
3,Control,NB,20,1212,488.190,493.094,0.163,490.802,497.021,0.188,491.4686792,501.775,0.312,501.617,507.98,0.289238095
3,Control,B,201,1213,418.424,426.500,0.269,424.104,434.522,0.316,430.5992453,454.688,0.730,439.870,443.8,0.178614718
3,Control,NB,12,1242,359.378,362.528,0.105,361.115,363.604,0.075,360.605283,364.495,0.118,364.594,369.84,0.238441559
3,Control,B,211,1211,363.517,370.352,0.228,368.690,375.490,0.206,371.9471698,386.900,0.453,386.959,400.54,0.617307359
3,Control,NB,212,1284,321.144,322.994,0.062,321.497,319.666,-0.055,316.7486792,322.242,0.166,314.456,315.54,0.049255409
3,Control,B,221,1245,407.426,413.907,0.216,412.272,421.230,0.271,417.1184906,428.500,0.345,428.421,436.98,0.389064936
4,Control,B,3,1241,477.351,481.545,0.140,461.976,468.911,0.210,463.1924528,469.605,0.194,469.466,471.56,0.095186145
4,Control,B,5,1253,467.615,475.159,0.251,472.847,479.529,0.202,474.8875472,479.410,0.137,479.252,484.56,0.241281386
4,Control,NB,6,1272,533.263,534.441,0.039,532.657,536.581,0.119,531.5184906,533.510,0.060,531.985,539.12,0.324329005
4,Control,B,209,1263,347.041,356.281,0.308,353.757,360.811,0.214,357.4460377,365.763,0.252,366.476,372.62,0.279264068
4,Control,NB,210,1262,430.209,441.833,0.387,439.704,448.646,0.271,444.4528302,448.309,0.117,448.131,457.04,0.404952382
4,Control,B,213,1225,472.995,478.628,0.188,476.163,482.402,0.189,477.6739623,482.223,0.138,481.451,486,0.206787877
4,Control,NB,214,1232,347.750,356.182,0.281,357.014,365.545,0.259,361.9984906,359.642,-0.071,359.483,365.36,0.267116882
4,Control,NB,222,1204,291.267,295.699,0.148,294.398,300.867,0.196,297.930566,300.233,0.070,300.055,308.48,0.382961041
4,Control,B,11,1233,639.805,649.339,0.318,646.527,657.161,0.322,650.8633962,655.279,0.134,655.715,664.06,0.379316018
4,Conrol,NB,202,1254,392.369,398.101,0.191,396.318,404.154,0.237,400.2822642,405.937,0.171,237.595,241.96,0.198389609
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
