Conical,T1.Devo.Tub.No,Cross,T2.Devo.Tub.No,Dam,Sire,Egg,2-cell,4-cell,8-cell,16-cell,Fertilized,Total,Prop.Fert,Prop.2cell,Prop.4cell,Prop.8cell,Prop.16cell,Total
S20,F401,BB,F450,119,123,19,1,0,0,0,1,20,0.05,1,0,0,0,1
S20,F402,BB,F451,119,123,25,0,0,0,0,0,25,0,NA,NA,NA,NA,NA
S20,F403,BB,F452,119,123,15,0,0,0,0,0,15,0,NA,NA,NA,NA,NA
L5,F194,BB,F233,119,149,4,5,8,3,0,16,20,0.8,0.3125,0.5,0.1875,0,1
L5,F195,BB,F234,119,149,1,2,3,2,0,7,8,0.88,0.285714286,0.428571429,0.285714286,0,1
L5,F196,BB,F235,119,149,3,7,8,2,0,17,20,0.85,0.411764706,0.470588235,0.117647059,0,1
L6,F188,BB,F236,119,173,1,7,3,2,4,16,17,0.94,0.4375,0.1875,0.125,0.25,1
L6,F189,BB,F237,119,173,3,7,5,5,0,17,20,0.85,0.411764706,0.294117647,0.294117647,0,1
L6,F190,BB,F238,119,173,4,9,3,4,0,16,20,0.8,0.5625,0.1875,0.25,0,1
S21,F404,BB,F447,123,119,6,14,0,0,0,14,20,0.7,1,0,0,0,1
S21,F405,BB,F448,123,119,17,10,0,0,0,10,27,0.37,1,0,0,0,1
S21,F406,BB,F449,123,119,14,8,1,0,0,9,23,0.39,0.888888889,0.111111111,0,0,1
L4,F176,BB,F221,149,173,3,9,2,5,0,16,19,0.84,0.5625,0.125,0.3125,0,1
L4,F177,BB,F222,149,173,1,1,4,3,2,10,11,0.91,0.1,0.4,0.3,0.2,1
L4,F178,BB,F223,149,173,1,3,3,5,1,12,13,0.92,0.25,0.25,0.416666667,0.083333333,1
L3,F179,BB,F224,149,119,0,1,2,2,7,12,12,1,0.083333333,0.166666667,0.166666667,0.583333333,1
L3,F180,BB,F225,149,119,1,0,2,4,4,10,11,0.91,0,0.2,0.4,0.4,1
L3,F181,BB,F226,149,119,0,0,1,5,13,19,19,1,0,0.052631579,0.263157895,0.684210526,1
L13,F209,BB,F254,173,119,6,6,2,2,0,10,16,0.63,0.6,0.2,0.2,0,1
L13,F210,BB,F255,173,119,6,3,3,1,1,8,14,0.57,0.375,0.375,0.125,0.125,1
L13,F211,BB,F256,173,119,8,4,2,7,1,14,22,0.64,0.285714286,0.142857143,0.5,0.071428571,1
L14,F218,BB,F260,173,149,10,5,1,3,0,9,19,0.47,0.555555556,0.111111111,0.333333333,0,1
L14,F219,BB,F261,173,149,11,4,3,1,0,8,19,0.42,0.5,0.375,0.125,0,1
L14,F220,BB,F262,173,149,13,3,3,3,1,10,23,0.43,0.3,0.3,0.3,0.1,1
L1,F371,BNB,F423,119,120,2,17,0,0,0,17,19,0.89,1,0,0,0,1
L1,F372,BNB,F424,119,120,3,15,1,0,0,16,19,0.84,0.9375,0.0625,0,0,1
L1,F373,BNB,F425,119,120,10,9,0,0,0,9,19,0.47,1,0,0,0,1
S23,F392,BNB,F441,119,124,15,3,0,0,0,3,18,0.17,1,0,0,0,1
S23,F393,BNB,F442,119,124,15,4,0,0,0,4,19,0.21,1,0,0,0,1
S23,F394,BNB,F443,119,124,12,6,0,0,0,6,18,0.33,1,0,0,0,1
S17,F389,BNB,F453,123,120,16,2,0,0,0,2,18,0.11,1,0,0,0,1
S17,F390,BNB,F454,123,120,13,7,0,0,0,7,20,0.35,1,0,0,0,1
S17,F391,BNB,F455,123,120,19,4,0,0,0,4,23,0.17,1,0,0,0,1
L12,F377,BNB,F429,123,124,12,10,0,0,0,10,22,0.45,1,0,0,0,1
L12,F378,BNB,F430,123,124,13,6,0,0,0,6,19,0.32,1,0,0,0,1
L12,F379,BNB,F431,123,124,7,5,1,0,0,6,13,0.46,0.833333333,0.166666667,0,0,1
S18,F535,NBB,F555,118,149,4,9,7,0,0,16,20,0.8,0.5625,0.4375,0,0,1
S18,F536,NBB,F556,118,149,2,12,4,0,0,16,18,0.89,0.75,0.25,0,0,1
S18,F537,NBB,F557,118,149,11,20,4,0,0,24,35,0.69,0.833333333,0.166666667,0,0,1
L2,F374,NBB,F426,120,119,13,7,0,0,0,7,20,0.35,1,0,0,0,1
L2,F375,NBB,F427,120,119,14,3,0,0,0,3,17,0.18,1,0,0,0,1
L2,F376,NBB,F428,120,119,17,5,0,0,0,5,22,0.23,1,0,0,0,1
S24,F386,NBB,F435,124,119,13,6,1,0,0,7,20,0.35,0.857142857,0.142857143,0,0,1
S24,F387,NBB,F436,124,119,10,7,1,0,0,8,18,0.44,0.875,0.125,0,0,1
S24,F388,NBB,F437,124,119,9,11,0,0,0,11,20,0.55,1,0,0,0,1
L11,F380,NBB,F432,124,123,20,1,0,0,0,1,21,0.05,1,0,0,0,1
L11,F381,NBB,F433,124,123,20,1,0,0,0,1,21,0.05,1,0,0,0,1
L11,F382,NBB,F434,124,123,18,1,0,0,0,1,19,0.05,1,0,0,0,1
L9,F203,NBNB,F239,116,120,2,2,1,6,4,13,15,0.87,0.153846154,0.076923077,0.461538462,0.307692308,1
L9,F204,NBNB,F240,116,120,4,1,3,5,4,13,17,0.76,0.076923077,0.230769231,0.384615385,0.307692308,1
L9,F205,NBNB,F241,116,120,2,2,6,6,3,17,19,0.89,0.117647059,0.352941176,0.352941176,0.176470588,1
L10,F200,NBNB,F248,116,150,2,3,6,3,7,19,21,0.9,0.157894737,0.315789474,0.157894737,0.368421053,1
L10,F201,NBNB,F249,116,150,0,1,6,4,5,16,16,1,0.0625,0.375,0.25,0.3125,1
L10,F202,NBNB,F250,116,150,0,3,5,4,6,18,18,1,0.166666667,0.277777778,0.222222222,0.333333333,1
L7,F185,NBNB,F230,120,116,1,1,1,9,4,15,16,0.94,0.066666667,0.066666667,0.6,0.266666667,1
L7,F186,NBNB,F231,120,116,2,1,4,4,5,14,16,0.88,0.071428571,0.285714286,0.285714286,0.357142857,1
L7,F187,NBNB,F232,120,116,2,4,3,6,3,16,18,0.89,0.25,0.1875,0.375,0.1875,1
S22,F398,NBNB,F444,120,124,6,12,0,0,0,12,18,0.67,1,0,0,0,1
S22,F399,NBNB,F445,120,124,9,10,0,0,0,10,19,0.53,1,0,0,0,1
S22,F400,NBNB,F446,120,124,10,8,0,0,0,8,18,0.44,1,0,0,0,1
L8,F182,NBNB,F227,120,150,3,4,6,6,0,16,19,0.84,0.25,0.375,0.375,0,1
L8,F183,NBNB,F228,120,150,1,3,7,1,0,11,12,0.92,0.272727273,0.636363636,0.090909091,0,1
L8,F184,NBNB,F229,120,150,1,7,9,1,0,17,18,0.94,0.411764706,0.529411765,0.058823529,0,1
L16,F212,NBNB,F251,150,116,1,0,1,1,11,13,14,0.93,0,0.076923077,0.076923077,0.846153846,1
L16,F213,NBNB,F252,150,116,3,2,1,1,12,16,19,0.84,0.125,0.0625,0.0625,0.75,1
L16,F214,NBNB,F253,150,116,1,0,2,1,10,13,14,0.93,0,0.153846154,0.076923077,0.769230769,1
L15,F215,NBNB,F257,150,120,2,3,10,0,0,13,15,0.87,0.230769231,0.769230769,0,0,1
L15,F216,NBNB,F258,150,120,2,0,5,2,1,8,10,0.8,0,0.625,0.25,0.125,1
L15,F217,NBNB,F259,150,120,1,2,5,5,0,12,13,0.92,0.166666667,0.416666667,0.416666667,0,1
